Command,Link,Description,Preprocessed_Description
show datapath wan probestats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dp-wan-ps.htm,This command displays the information about the datapath statistics for the WAN probestats for a gateway.,information datapath statistics wan probestats gateway
show datapath wan threshold,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dp-wan-th.htm,This command displays the information about the datapath statistics for the WAN threshold for a gateway.,information datapath statistics wan threshold gateway
show datapath web-cc counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dp-wb-cc.htm,This command displays information about the datapath web-cc table counters for a gateway.,information datapath table counters gateway
show ddns,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ddns.htm,This command displays the Dynamic DNS (DDNS) status of the AP and the list of DDNS clients.,dynamic dns ddns status ap list ddns clients
show ddns clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ddns-clients.htm,This command displays the A record (host) updates and Pointer Record (PTR) updates sent by the DDNS client list.,record host updates pointer record ptr updates sent ddns client list
show dds debug peers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dds-db-pe.htm,This command displays the dds debug information for the gateway peers.,dds debug information gateway peers
show dds debug stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dds-db-st.htm,This command displays the statistics of the DDS log for a gateway.,statistics dds log gateway
show debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-debug.htm,This command displays the debug information of the debug logging levels for a gateway.,debug information debug logging levels gateway
show derivation-rules,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-deriv-rules.htm,This command displays the list of roles and VLAN derivation rules configured on an AP. This command is used to view the derivation rules configured for a network profile.,list roles vlan derivation rules configured ap used view derivation rules configured network profile
show dhcp-allocation,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dhcp-alloc.htm,This command displays information about the DHCP address allocation for an AP. This command is used to view DHCP address allocation for network address translated clients to allow mobility of the clients across APs.,information dhcp address allocation ap used view dhcp address allocation network address translated clients allow mobility clients across aps
show dhcpc-opts,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dhcpc-opts.htm,This command displays the DHCP options configured on an AP. This command is used to view the current status of the vendor-specific DHCP options configured on an AP.,dhcp options configured ap used view current status dhcp options configured ap
show dhcps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dhcps.htm,"This command displays the list of Local DHCP profiles configured in the AP, corresponding IP pools and other related parameters.",list local dhcp profiles configured ap corresponding ip pools related parameters
show dpi application all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dpi-app.htm,"This command displays all applications, which are configured for DPI, by name, ID, category, and default ports.",applications configured dpi name id category default ports
show dpi-classification-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dpi-class-cache.htm,This command displays the app classification cached entries from the Qosmos engine. The app classification cache is only available for applications recognized as cacheable by Qosmos. DPI classification cache is enabled by default.,app classification cached entries qosmos engine app classification cache available applications recognized cacheable qosmos dpi classification cache enabled default
show dpi debug status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dpi.htm,This command displays the DPI debug status for an AP. This information can be used for debugging.,dpi debug status ap information used debugging
show dpi-stats session,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dpi-stats.htm,This command displays the DPI datapath session details for an AP.,dpi datapath session details ap
show dot1x ap-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dot1x-ap-tab.htm,This command displays the 802.1X table for an AP.,table ap
show dot1x counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-1x-counters.htm,This command displays a table of dot1x counters.,table dot1x counters
show dot1x eap-frag-mtu,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-1x-eap-frag-mtu.htm,This command displays the IP MTU to be considered for EAP fragmentation.,ip mtu considered eap fragmentation
show dot1x watermark history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-wm-hy.htm,This command displays the historical sessions in the 802.1X session queue for a gateway. This command must be run under the guidance of Aruba support to view information about the table that contains 802.1X sessions being processed.,historical sessions session queue gateway must run guidance aruba support view information table contains sessions processed
show dot1x watermark table active,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-wm-ta.htm,This command displays all the current active sessions in the 802.1X queue and the corresponding user-age for a gateway.,current active sessions queue corresponding gateway
show dot1x watermark table pending,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-wm-tp.htm,"This command displays all the pending sessions in the 802.1X queue, the duration for which the user is pending in the queue, and the corresponding user-age for a gateway.",pending sessions queue duration user pending queue corresponding gateway
show election statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-election.htm,This command displays the election statistics of the master AP selected as the Virtual Controller.,election statistics master ap selected virtual controller
show est profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-est-profile-gw.htm,"The command displays the information related to the entered profile name. When the optional parameter is not entered, the command displays all the enabled EST profile names.",information related entered profile name optional parameter entered enabled est profile names
show est status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-est-status-gw.htm,"The command displays the detailed enrollment status of the entered profile name. When the optional parameter is not entered, the command displays the enrollment status of all EST profiles.",detailed enrollment status entered profile name optional parameter entered enrollment status est profiles
show est status verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-est-verbose-gw.htm,This command displays additional information about the enrollment status of all enabled EST profiles.,additional information enrollment status enabled est profiles
show fault,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fault.htm,This command displays the list of active faults that occur in the event of a system fault for an AP.,list active faults occur event system fault ap
show fault history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fault-hy.htm,This command displays the list of faults that were cleared from the system for an AP.,list faults cleared system ap
show firewall,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fw.htm,This command displays a list of global firewall policies and policy details for a gateway.,list global firewall policies policy details gateway
show firewall-cp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fw-cp.htm,This command displays the control path firewall policies on the gateway.,control path firewall policies gateway
show firewall-cp internal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fw-cp-in.htm,This command displays the control path internal firewall policies on the gateway.,control path internal firewall policies gateway
show firewall-visibility-blk-session status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fw-vis-blk-st.htm,This command displays the policy enforcement firewall visibility process state and status information for bulk sessions of a gateway.,policy enforcement firewall visibility process state status information bulk sessions gateway
show firewall-visibility debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fw-vis.htm,This command displays the process state information for debugging firewall visibility of a gateway.,process state information debugging firewall visibility gateway
show firewall-visibility status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-fw-vis-st.htm,This command displays information about the status of firewall visibility of a gateway.,information status firewall visibility gateway
show flow-offload status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-flow-offload.htm,This command displays the current status of flow offload configuration of the AP.,current status flow offload configuration ap
show gap-debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gap-dbug.htm,This command displays the troubleshooting information for the global AP database.,troubleshooting information global ap database
show gre config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gre-config.htm,This command displays the GRE configuration information for an AP.,gre configuration information ap
show gre status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gre-status.htm,This command displays information about the parameters indicating the status of GRE for an AP.,information parameters indicating status gre ap
show gsm application all status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-app.htm,This command displays the status of the all the GSM applications for a gateway.,status gsm applications gateway
show gsm debug channel all status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-db.htm,This command displays information about the status of the all the GSM debug channels for a gateway.,information status gsm debug channels gateway
show gsm debug channel bucket_map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-db-bm.htm,This command displays information about the GSM debug channel bucket map for a gateway.,information gsm debug channel bucket map gateway
show gsm debug channel cluster,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-db-cc.htm,This command displays information about the GSM debug channel cluster for a gateway.,information gsm debug channel cluster gateway
show gsm debug channel cluster_ddg,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-db-cd.htm,This command displays information about the GSM debug channel cluster DDG for a gateway.,information gsm debug channel cluster ddg gateway
show gsm debug channel cluster_device,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-db-ce.htm,This command displays information about the GSM debug channel for a gateway in the cluster.,information gsm debug channel gateway cluster
show gsm debug channel cluster_tunneled_node,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-debug.htm,This command displays the controller cluster information for the tunneled node channel.,controller cluster information tunneled node channel
show gsm debug channel cluster_user,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-dg-ch-cltr-ur.htm,This command displays the controller cluster information for the cluster user channel.,controller cluster information cluster user channel
show gsm debug channel cluster_vdg,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-gsm-db-cc-vdg.htm,This command displays the channel cluster VDG assignment data.,channel cluster vdg assignment data
show gsm debug channel dds_peer,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-dg-ch-dds-pr.htm,This command displays the controller cluster information for the DDS peer.,controller cluster information dds peer
show gsm debug channel device_info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-dg-ch-dv-info.htm,This command displays the controller cluster information for the channel device.,controller cluster information channel device
show gsm debug channel tunneled_node,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-dg-ch-tnd-nde.htm,This command displays the controller information for the tunneled node channel.,controller information tunneled node channel
show gsm debug channel tunneled_user,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-gsm-dg-ch-tnld-ur.htm,This command displays the controller information for the tunneled user channel.,controller information tunneled user channel
show ha ap table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ha-ap.htm,This command displays the HA AP table to view information about APs configured to use the HA feature. The HA table is displayed or the HA group default.,ha ap table view information aps configured use ha feature ha table displayed ha group default
show ha group-membership,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ha-grp.htm,This command displays the name of the HA group to which the managed device should be a member.,name ha group managed device member
show ha group-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ha-grp-profile.htm,This command displays the list of HA groups. You can include the optional <profile> parameter to display configuration settings for the specific profile.,list ha groups include optional profile parameter display configuration settings specific profile
show ha heartbeat counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ha-heart-cntr.htm,This command displays statistics for the HA extended device capacity feature. The HA heartbeat statistics is displayed for the HA group default.,statistics ha extended device capacity feature ha heartbeat statistics displayed ha group default
show hcm nhinfo,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-hcm-nhinfo.htm,This command displays the nexthop information for each uplink that the health check manager (hcm) must probe.,nexthop information uplink health check manager hcm must probe
show hcm probe-node,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-hcm-probe-node.htm,This command displays the detailed probe information.,detailed probe information
show hcm probe-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-hcm-probe-profile.htm,This command displays some built-in profile information about how hcm sends the probe.,profile information hcm sends probe
show hcm telemetry-report counter,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-hcm-tlmtry-rprt-countr.htm,This command displays the number of report messages sent to Aruba Central by hcm.,number report messages sent aruba central hcm
show hcm telemetry-report unreported-details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-hcm-tlmtry-unrprtd-dtls.htm,This command displays the packet data that needs to be reported to Aruba Central in the next cycle.,packet data needs reported aruba central next cycle
show hcm vlaninfo,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-hcm-vlan-info.htm,This command displays all the uplink information.,uplink information
show hcm vpncinfo,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-hcm-vpnc-info.htm,This command displays the VPNC node that the health check manager (hcm) must probe.,vpnc node health check manager hcm must probe
show iap detailed-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-iap-detailed.htm,This command displays the details of all the branches terminating at the managed device.,details branches terminating managed device
show iap table long,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-iap-table.htm,This command displays the branch details connected to the AP.,branch details connected ap
show iap trusted-branch-db,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-iap-trust-br.htm,This command displays the details of AP trusted branch database information.,details ap trusted branch database information
show idps stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-ids.htm,This command displays the IDPS statistics.,idps statistics
show idps summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-idps-smry.htm,This command displays the IDPS summary.,idps summary
show ids aps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-ids-aps.htm,Displays the unknown APs detected by the AP.,unknown aps detected ap
show ids client,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-ids-clients.htm,Displays the details of the AP to which the client is connected.,details ap client connected
show ids-detection,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ids-detect.htm,This command displays the intrusion detection policies configured on an AP.,intrusion detection policies configured ap
show ids-protection,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ids-protect.htm,This command displays the list of infrastructure protection policies configured an AP.,list infrastructure protection policies configured ap
show image version,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-image-ver.htm,This command displays the current system image version on both partition 0 and 1.,current system image version partition 0 1
show inbound-firewall-rules,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-inb-firewl-rules.htm,This command displays the details of inbound firewall rules configured on an AP.,details inbound firewall rules configured ap
show interface counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-intf-vhst-ctrs.htm,This command displays a table of L2 interfaces counters.,table l2 interfaces counters
show interface loopback,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-intf-loopbck.htm,This command displays information about the loopback IP interface.,information loopback ip interface
show interface mgmt,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-intf-mgmt.htm,This command displays information about management Ethernet IP interfaces.,information management ethernet ip interfaces
show interface vlan,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-intf-vlan.htm,This command displays information about a specified VLAN interface.,information specified vlan interface
show inventory,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-inventory.htm,This command displays the hardware inventory of the Gateway device.,hardware inventory gateway device
show ip access-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-accs-list.htm,"This command displays a table of all configured ACLs, or show details for a specific ACL.",table configured acls show details specific acl
show ip bgp neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-bgp-nbr.htm,This command displays the BGP statistics for neighbors.,bgp statistics neighbors
show ip bgp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-bgp.htm,This command displays the BGP statistics.,bgp statistics
show ip dhcp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-oap-advt.htm,"This command displays the DHCP server binding, database setting, relay and pool statistics.",dhcp server binding database setting relay pool statistics
show ip dhcp database,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-dhcp-database.htm,This command displays the DHCP server settings.,dhcp server settings
show ip dhcp statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-dhcp-stats.htm,This command displays the DHCP pool statistics.,dhcp pool statistics
show ip health-check,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-heal-chk.htm,This command displays the health-check status of the uplink interfaces of a branch office managed device. This command must be executed from the branch office managed device.,status uplink interfaces branch office managed device must executed branch office managed device
show ip-geolocation,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-geo.htm,This command displays the IP geolocation status.,ip geolocation status
show ip health-check branch-mesh,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-iphlth-chkbran-mesh.htm,This command displays the health-check status of the uplink interfaces of a branch office managed device. This command must be executed from the branch office managed device.,status uplink interfaces branch office managed device must executed branch office managed device
show ip health-check branch-mesh verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-iphlth-chkbran-mesh-verb.htm,This command displays the health-check status of the uplink interfaces of a branch office managed device. This command must be executed from the branch office managed device.,status uplink interfaces branch office managed device must executed branch office managed device
show ip health-check verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-iphlth-chkverb.htm,This command displays the health-check status of the uplink interfaces of a branch office managed device. This command must be executed from the branch office managed device.,status uplink interfaces branch office managed device must executed branch office managed device
show ip igmp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp.htm,This command displays IGMP group table.,igmp group table
show ip igmp config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-cnfg.htm,This command displays the current IGMP configuration.,current igmp configuration
show ip igmp counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-cntr.htm,This command displays the list of counters for the following IGMP queries:,list counters following igmp queries
show ip igmp group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-grp.htm,This command displays the IGMP group table.,igmp group table
show ip igmp interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-intrfc.htm,This command displays IGMP interface table for all VLANs on Gateway device.,igmp interface table vlans gateway device
show ip igmp proxy group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-pxy-grp.htm,This command displays the IGMP proxy group information for a specific interface.,igmp proxy group information specific interface
show ip igmp proxy-mobility-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-pxy-mb-grp.htm,Displays the IGMP proxy group information stored for mobile clients that are away from the managed device.,igmp proxy group information stored mobile clients away managed device
show ip igmp proxy mobility stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-prxy-mob-sts.htm,This command displays information on IGMP mobility multicast statistics.,information igmp mobility multicast statistics
show ip igmp proxy stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-igmp-prxy-sts.htm,This command displays the number of messages transmitted and received by the IGMP proxy on the upstream interface.,number messages transmitted received igmp proxy upstream interface
show ip interface brief,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-intfc-brf.htm,This command displays the IP-related information on all interfaces in summary format.,information interfaces summary format
show ip mobile active-domains,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mobile.htm,This command displays the IP mobility domains active on the switch.,ip mobility domains active switch
show ip mobile binding,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mobile-bndgs.htm,This command displays the list of home agent binding information for the mobile protocol.,list home agent binding information mobile protocol
show ip mobile domian,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mobile-dmn.htm,"This command displays the subnet, VLAN, and home agent information for all mobility domains. You can specify a mobility domain name to view data only for that particular domain.",subnet vlan home agent information mobility domains specify mobility domain name view data particular domain
show ip mobile global,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mobile-gbl.htm,This command displays the current mobility agents global configuration.,current mobility agents global configuration
show ip mobile hat,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mobile-hat.htm,This command displays the active home agent table.,active home agent table
show ip mobile host,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mobile-host.htm,This command displays the list of mobile IP hosts.,list mobile ip hosts
show ip mobile multicast-vlan-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mob-mtcst-vlan.htm,This command displays the mobility multicast VLAN table information.,mobility multicast vlan table information
show ip mobile traffic,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-mobile-trfc.htm,This command displays the mobile IP protocol statistics for the following:,mobile ip protocol statistics following
show ip mobile tunnel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-mob-tnl.htm,This command displays statistics and configuration information for the Mobile Tunnel.,statistics configuration information mobile tunnel
show ip mobile visitor,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-mob-visit.htm,This command displays statistics and configuration information for the mobile nodes visiting a foreign agent.,statistics configuration information mobile nodes visiting foreign agent
show ip nexthop-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-nexthop-ls.htm,"This command displays the next hop list settings for policy-based routing. A next hop IP is the IP address of a adjacent router or device with layer-2 connectivity to the Gateway. The next hop list provides redundancy for the next hop devices by forwarding the traffic to a backup next hop device in case of failures. If active next hop device on the list becomes unreachable, traffic matching a policy-based routing ACL is forwarded using the highest-priority active next hop on the list.",next hop list settings routing next hop ip ip address adjacent router device connectivity gateway next hop list provides redundancy next hop devices forwarding traffic backup next hop device case failures active next hop device list becomes unreachable traffic matching routing acl forwarded using active next hop list
show ip oap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-oap.htm,This command displays OAP information.,oap information
show ip oap advertise,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-advert.htm,"This command displays the received configuration from the Mobility Conductor. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings.",received configuration mobility conductor issue view entire configuration saved gateway including profiles acls interface settings
show ip oap advertise verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-advert-verb.htm,This command displays the advertised IP OAP tunnels information that can be used for debugging.,advertised ip oap tunnels information used debugging
show ip oap hub-mesh nexthops,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-msh-nxthops.htm,This command displays information about the hub-mesh nexthops.,information nexthops
show ip oap hub-mesh nodes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-msh-nodes.htm,This command displays information about the hub-mesh nodes.,information nodes
show ip oap hub-mesh topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-msh-topo.htm,This command displays information about the hub-mesh topology.,information topology
show ip oap route,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-route.htm,This command displays information about an Overlay Agent Protocol route.,information overlay agent protocol route
show ip oap route all verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-route-all-verb.htm,This command displays information about all the Overlay Agent Protocol routes.,information overlay agent protocol routes
show ip oap tunnel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-tnl.htm,This command displays information about the Overlay Agent Protocol tunnel.,information overlay agent protocol tunnel
show ip ospf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf.htm,This command display statistics and configuration information for the OSPF routing protocol for a gateway.,display statistics configuration information ospf routing protocol gateway
show ip ospf database,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf-db.htm,This command displays the statistics and configuration information for the OSPF routing protocol for a gateway.,statistics configuration information ospf routing protocol gateway
show ip ospf interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf-interface.htm,This command displays the statistics and configuration information for the OSPF routing protocol for a gateway interface.,statistics configuration information ospf routing protocol gateway interface
show ip ospf neighbor,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf-neighbor.htm,This command displays the statistics and configuration information for the OSPF routing protocol for a neighbor gateway.,statistics configuration information ospf routing protocol neighbor gateway
show ip pim group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-pim-group.htm,This command displays the multicast group membership table.,multicast group membership table
show ip pim statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-pim-statistics.htm,This command displays the multicast PIM statistics in a Gateway device.,multicast pim statistics gateway device
show ip pppoe-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-pppoe-info.htm,This command displays the configuration settings for PPPoE.,configuration settings pppoe
show ip prefix-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-prefix.htm,This command displays the information about a prefix list or prefix list entries for the Gateways.,information prefix list prefix list entries gateways
show ip probe,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-probe.htm,"This command displays the health-check profile settings for measuring WAN reachability and latency on a gateway uplink, and the default probe profile settings for PBR using next-hop lists.",profile settings measuring wan reachability latency gateway uplink default probe profile settings pbr using lists
show ip radius source-interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-radius.htm,This command displays the global parameters for configured RADIUS servers and the source interface address of outgoing RADIUS requests for a gateway.,global parameters configured radius servers source interface address outgoing radius requests gateway
show ip-reputation,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-rep.htm,This command displays the IP reputation status.,ip reputation status
show ip rip,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-rip.htm,This command displays the statistics and configuration information of the Routing Information Protocol (RIP) for a gateway.,statistics configuration information routing information protocol rip gateway
show ip rip interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-rip-intrfc.htm,This command displays the RIP interface information from a specified gateway.,rip interface information specified gateway
show ip rip neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-rip-nghbrs.htm,This command displays the RIP neighbor information from a specified gateway.,rip neighbor information specified gateway
show ip route,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-route.htm,This command displays the Mobility Master routing table with static routes configured on the Mobility Master.,mobility master routing table static routes configured mobility master
show ip route counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-route-counter.htm,"This command displays the number of routes present in a gateway, categorized by type.",number routes present gateway categorized type
show ip vrf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-vrf.htm,This command displays information on Virtual Routing and Forwarding (VRF) instances running on the Gateway.,information virtual routing forwarding vrf instances running gateway
show ipv6 dhcp database,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ipv6-dhcp-dbs.htm,This command displays the DHCPv6 server settings.,dhcpv6 server settings
show ipv6 firewall,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ipv6-firewall.htm,This command displays the status of all the IPv6 firewall configurations available in a gateway.,status ipv6 firewall configurations available gateway
show ipv6 global,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-v6-global.htm,This command displays IPv6 global config information on a gateway.,ipv6 global config information gateway
